Date,Open,High,Low,Close
04/03 13:45,22407.15,22409.6,22399.8,22408
04/03 13:40,22408.15,22411.5,22404.75,22407.95
04/03 13:35,22405.95,22411.95,22404.95,22408.1
04/03 13:30,22400.75,22409.4,22400.75,22405.2
04/03 13:25,22405.7,22410.85,22399.25,22401.2
04/03 13:20,22412.4,22414.8,22404.9,22406.3
04/03 13:15,22402.2,22413.25,22400.9,22411.8
04/03 13:10,22401.5,22412,22400.45,22401.7
04/03 13:05,22401,22408.75,22400.25,22401
04/03 13:00,22400.7,22405.45,22397.85,22401.7
04/03 12:55,22378.2,22403.2,22375.7,22400.5
04/03 12:50,22400.45,22400.8,22372.75,22378.35
04/03 12:45,22413.1,22415.15,22395.3,22399.45
04/03 12:40,22416.45,22418.15,22407.65,22412.4
04/03 12:35,22420.25,22422.75,22413.95,22416.4
04/03 12:30,22414.2,22426.6,22414.2,22419.75
04/03 12:25,22408.4,22419.55,22406.9,22413.75
04/03 12:20,22407.3,22415.7,22406.2,22408.25
04/03 12:15,22401,22415.15,22397.55,22406.9
04/03 12:10,22400.25,22406.2,22389.95,22403.3
04/03 12:05,22399.85,22406.85,22394.7,22399.45
04/03 12:00,22397.7,22408.3,22397.15,22399.6
04/03 11:55,22404.2,22405.85,22391.9,22397.1
04/03 11:50,22417.5,22423.9,22399.1,22403.1
04/03 11:45,22410.1,22420.1,22404.9,22417.3
04/03 11:40,22404.2,22409.5,22400.15,22408.55
04/03 11:35,22398.9,22410.5,22389.85,22403.9
04/03 11:30,22393.05,22403.8,22392.6,22398.4
04/03 11:25,22400.45,22405.4,22390.65,22392.75
04/03 11:20,22398.05,22403.45,22385.9,22400.5
04/03 11:15,22404.8,22418.8,22398.85,22398.85
04/03 11:10,22389.25,22406.25,22383.95,22404.55
04/03 11:05,22374.55,22394,22373.4,22389
04/03 11:00,22376.25,22395.05,22373.55,22374.1
04/03 10:55,22401.6,22401.6,22372.85,22376.65
04/03 10:50,22411.8,22418,22398.95,22401.6
